0.814,5
1.614,3
2.414,5
3.214,3
4.014,5
4.814,3
5.614,6
6.414,5
7.214,6
8.014,5
8.814,6
9.614,5
10.414,6
11.214,5
12.014,3
12.814,2
13.614,3
14.414,2
15.214,3
16.014,2
16.814,3
17.614,2
18.414,11
19.214,6
20.014,11
20.814,6
21.614,11
22.414,6
23.214,11
24.014,6
24.814,5
25.614,3
26.414,5
27.214,3
28.014,5
28.814,3
29.614,5
30.414,3
31.214,6
32.014,5
32.814,6
33.614,5
34.414,6
35.214,5
36.014,6
36.814,5
37.614,3
38.414,2
39.214,3
40.014,2
40.814,3
41.614,2
42.414,3
43.214,2
44.014,11
44.814,6
45.614,11
46.414,6
47.214,11
48.014,6
48.814,11
49.614,6
50.414,5
51.214,3
52.014,5
52.814,3
53.614,5
54.414,3
55.214,5
56.014,3
56.814,6
57.614,5
58.414,6
59.214,5
60.014,6
60.814,5
61.614,6
62.414,5
63.214,3
64.014,2
64.814,3
65.614,2
66.414,3
67.214,2
68.014,3
68.814,2
69.614,11
70.414,6
71.214,11
72.014,6
72.814,11
73.614,6
74.414,11
75.214,6
76.014,5
76.814,3
