0.862,2
2.578,3
4.292,2
6.006,1
7.719,3
9.434,2
11.149,1
12.863,60
14.578,2
16.293,3
18.007,2
19.722,1
20.579,60
21.436,1
22.293,2
23.15,3
24.008,5
24.865,6
25.722,5
26.579,3
28.294,6
30.008,11
31.722,3
33.437,2
35.151,6
36.866,3
38.58,2
40.294,1
42.009,3
43.723,5
45.438,3
47.152,2
48.866,5
50.581,3
52.295,2
54.01,1
55.724,6
57.438,6
59.153,1
60.867,2
62.582,6
64.296,3
66.01,2
67.725,1
69.439,3
71.154,5
72.868,3
74.582,2
78.011,1
79.726,2
81.44,60
83.154,5
84.869,3
86.583,5
88.298,3
90.012,11
91.726,6
93.441,2
95.155,1
96.87,3
98.584,5
100.298,3
102.013,2
105.442,1
107.156,2
108.87,60
